1,Bilbo,1: The Fellowship Of The Ring (3018),01: Prologue,Hobbit
1,Elrond,1: The Fellowship Of The Ring (3018),01: Prologue,Elf
1,Galadriel,1: The Fellowship Of The Ring (3018),01: Prologue,Elf
1,Gollum,1: The Fellowship Of The Ring (3018),01: Prologue,Gollum
2,Bilbo,1: The Fellowship Of The Ring (3018),02: Concerning Hobbits,Hobbit
3,Bilbo,1: The Fellowship Of The Ring (3018),03: The Shire,Hobbit
3,Frodo,1: The Fellowship Of The Ring (3018),03: The Shire,Hobbit
3,Gandalf,1: The Fellowship Of The Ring (3018),03: The Shire,Ainur
3,Hobbit Kids,1: The Fellowship Of The Ring (3018),03: The Shire,Hobbit
3,Hobbits,1: The Fellowship Of The Ring (3018),03: The Shire,Hobbit
4,Bilbo,1: The Fellowship Of The Ring (3018),04: Very Old Friends,Hobbit
4,Gandalf,1: The Fellowship Of The Ring (3018),04: Very Old Friends,Ainur
4,Lobelia Sackville-Baggins,1: The Fellowship Of The Ring (3018),04: Very Old Friends,Hobbit
5,Bilbo,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Hobbit
5,Frodo,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Hobbit
5,Gandalf,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Ainur
5,Hobbits,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Hobbit
5,Lobelia Sackville-Baggins,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Hobbit
5,Merry,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Hobbit
5,Mrs. Bracegirdle,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Hobbit
5,Pippin,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Hobbit
5,Proudfoot,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Hobbit
5,Sam,1: The Fellowship Of The Ring (3018),05: A Long Expected Party,Hobbit
6,Bilbo,1: The Fellowship Of The Ring (3018),06: Farewell Dear Bilbo,Hobbit
6,Gandalf,1: The Fellowship Of The Ring (3018),06: Farewell Dear Bilbo,Ainur
7,Bilbo,1: The Fellowship Of The Ring (3018),07: Keep It Secret Keep It Safe,Hobbit
7,Frodo,1: The Fellowship Of The Ring (3018),07: Keep It Secret Keep It Safe,Hobbit
7,Gandalf,1: The Fellowship Of The Ring (3018),07: Keep It Secret Keep It Safe,Ainur
8,Gandalf,1: The Fellowship Of The Ring (3018),08: The Account of Isildur,Ainur
