1,"Rade Serbedzija",1997,"The Saint",Secondario
1,"Elisabeth Shue",1997,"The Saint",Secondario
1,"Alun Armstrong",1997,"The Saint",Secondario
1,"Val Kilmer",1997,"The Saint",Principale
1,"Henry Goodman",1997,"The Saint",Secondario
2,"Clea DuVall",2001,"Ghosts of Mars",Secondario
2,"Pam Grier",2001,"Ghosts of Mars",Secondario
2,"Natasha Henstridge",2001,"Ghosts of Mars",Principale
2,"Jason Statham",2001,"Ghosts of Mars",Secondario
2,"Ice Cube",2001,"Ghosts of Mars",Secondario
3,"Nick Cassavetes",1986,"The Wraith",Secondario
3,"Randy Quaid",1986,"The Wraith",Secondario
3,"Matthew Barry",1986,"The Wraith",Secondario
3,"Sherilyn Fenn",1986,"The Wraith",Secondario
3,"Charlie Sheen",1986,"The Wraith",Principale
4,"Scarlett Johansson",2014,"Captain America: The Winter Soldier",Secondario
4,"Chris Evans",2014,"Captain America: The Winter Soldier",Principale
4,"Samuel L. Jackson",2014,"Captain America: The Winter Soldier",Secondario
4,"Robert Redford",2014,"Captain America: The Winter Soldier",Secondario
4,"Sebastian Stan",2014,"Captain America: The Winter Soldier",Secondario
5,"Cyril Raffaelli",2004,"Banlieue 13",Secondario
5,"David Belle",2004,"Banlieue 13",Principale
5,"Tony D'Amario",2004,"Banlieue 13",Secondario
5,"Bibi Naceri",2004,"Banlieue 13",Secondario
5,"Dany Verissimo-Petit",2004,"Banlieue 13",Secondario
6,"Cliff Robertson",1996,"Escape from L.A.",Secondario
6,"Pam Grier",1996,"Escape from L.A.",Secondario
6,"Kurt Russell",1996,"Escape from L.A.",Principale
6,"Stacy Keach",1996,"Escape from L.A.",Secondario
6,"Steve Buscemi",1996,"Escape from L.A.",Secondario
7,"Armin Rohde",2005,"A Sound of Thunder",Secondario
7,"Edward Burns",2005,"A Sound of Thunder",Secondario
7,"Wilfried Hochholdinger",2005,"A Sound of Thunder",Secondario
7,"David Oyelowo",2005,"A Sound of Thunder",Secondario
7,"Heike Makatsch",2005,"A Sound of Thunder",Principale
8,"Josh Hutcherson",2013,"The Hunger Games: Catching Fire",Secondario
8,"Woody Harrelson",2013,"The Hunger Games: Catching Fire",Secondario
8,"Jennifer Lawrence",2013,"The Hunger Games: Catching Fire",Principale
8,"Elizabeth Banks",2013,"The Hunger Games: Catching Fire",Secondario
8,"Liam Hemsworth",2013,"The Hunger Games: Catching Fire",Secondario
10,"Gwyneth Paltrow",2010,"Iron Man 2",Secondario
10,"Scarlett Johansson",2010,"Iron Man 2",Secondario
10,"Don Cheadle",2010,"Iron Man 2",Secondario
10,"Mickey Rourke",2010,"Iron Man 2",Secondario
10,"Robert Downey Jr.",2010,"Iron Man 2",Principale
11,"Samuel L. Jackson",1998,"Sphere",Secondario
11,"Liev Schreiber",1998,"Sphere",Secondario
11,"Sharon Stone",1998,"Sphere",Secondario
11,"Dustin Hoffman",1998,"Sphere",Principale
11,"Peter Coyote",1998,"Sphere",Secondario
14,"Jaden Smith",2008,"The Day the Earth Stood Still",Secondario
14,"Jennifer Connelly",2008,"The Day the Earth Stood Still",Secondario
14,"Keanu Reeves",2008,"The Day the Earth Stood Still",Principale
14,"Kathy Bates",2008,"The Day the Earth Stood Still",Secondario
14,"John Cleese",2008,"The Day the Earth Stood Still",Secondario
15,"Steve Whitmire",1999,"Muppets from Space",Principale
15,"Dave Goelz",1999,"Muppets from Space",Secondario
15,"Bill Barretta",1999,"Muppets from Space",Secondario
15,"Jerry Nelson",1999,"Muppets from Space",Secondario
15,"Frank Oz",1999,"Muppets from Space",Secondario
16,"Chris Mulkey",2007,"??",Secondario
16,"Jason Behr",2007,"??",Principale
16,"Aimee Garcia",2007,"??",Secondario
16,"Robert Forster",2007,"??",Secondario
16,"Elizabeth Peña",2007,"??",Secondario
17,"Evangeline Lilly",2015,"Ant-Man",Secondario
17,"Bobby Cannavale",2015,"Ant-Man",Secondario
17,"Paul Rudd",2015,"Ant-Man",Principale
17,"Michael Douglas",2015,"Ant-Man",Secondario
17,"Corey Stoll",2015,"Ant-Man",Secondario
18,"Tim Curry",1995,"Congo",Secondario
18,"Dylan Walsh",1995,"Congo",Secondario
18,"Grant Heslov",1995,"Congo",Secondario
18,"Laura Linney",1995,"Congo",Principale
18,"Ernie Hudson",1995,"Congo",Secondario
19,"Theresa Randle",1997,"Spawn",Secondario
19,"Nicol Williamson",1997,"Spawn",Secondario
19,"John Leguizamo",1997,"Spawn",Secondario
19,"Michael Jai White",1997,"Spawn",Principale
19,"Martin Sheen",1997,"Spawn",Secondario
20,"Tchéky Karyo",1999,"Wing Commander",Secondario
20,"Matthew Lillard",1999,"Wing Commander",Secondario
