1,Tully,1,298,Defender
1,Lannister,1,298,Attacker
2,Baratheon,2,298,Defender
2,Lannister,2,298,Attacker
3,Tully,3,298,Defender
3,Lannister,3,298,Attacker
4,Lannister,4,298,Defender
4,Stark,4,298,Attacker
5,Lannister,5,298,Defender
5,Stark,5,298,Attacker
5,Tully,5,298,Attacker
6,Lannister,6,298,Defender
6,Stark,6,298,Attacker
6,Tully,6,298,Attacker
7,Darry,7,298,Defender
7,Lannister,7,298,Attacker
8,Stark,8,299,Defender
8,Greyjoy,8,299,Attacker
9,Stark,9,299,Defender
9,Greyjoy,9,299,Attacker
10,Stark,10,299,Defender
10,Greyjoy,10,299,Attacker
11,Greyjoy,11,299,Defender
11,Stark,11,299,Attacker
12,Stark,12,299,Defender
12,Greyjoy,12,299,Attacker
13,Stark,13,299,Defender
13,Greyjoy,13,299,Attacker
14,Stark,14,299,Defender
14,Bolton,14,299,Attacker
14,Greyjoy,14,299,Attacker
15,Lannister,15,299,Defender
15,Stark,15,299,Attacker
15,Tully,15,299,Attacker
16,Baratheon,16,299,Defender
16,Baratheon,16,299,Attacker
17,Tully,17,299,Defender
17,Lannister,17,299,Attacker
18,Lannister,18,299,Defender
18,Stark,18,299,Attacker
19,Lannister,19,299,Defender
19,Stark,19,299,Attacker
20,Lannister,20,299,Defender
20,Baratheon,20,299,Attacker
21,Lannister,21,299,Defender
21,Darry,21,299,Attacker
22,Lannister,22,299,Defender
22,Stark,22,299,Attacker
23,Brave Companions,23,299,Defender
23,Brotherhood without Banners,23,299,Attacker
24,Stark,24,299,Defender
24,Lannister,24,299,Attacker
25,Brave Companions,25,299,Defender
25,Lannister,25,299,Attacker
26,Stark,26,299,Defender
26,Frey,26,299,Attacker
26,Bolton,26,299,Attacker
27,Mallister,27,299,Defender
27,Frey,27,299,Attacker
28,Night's Watch,28,300,Defender
28,Free folk,28,300,Attacker
28,Baratheon,28,300,Defender
28,Thenns,28,300,Attacker
28,Giants,28,300,Attacker
29,Greyjoy,29,300,Defender
29,Bolton,29,300,Attacker
30,Brave Companions,30,300,Attacker
31,Greyjoy,31,300,Defender
31,Baratheon,31,300,Attacker
31,Karstark,31,300,Attacker
31,Mormont,31,300,Attacker
31,Glover,31,300,Attacker
32,Tyrell,32,300,Defender
32,Greyjoy,32,300,Attacker
33,Tyrell,33,300,Defender
33,Greyjoy,33,300,Attacker
34,Baratheon,34,300,Defender
34,Baratheon,34,300,Attacker
35,Baratheon,35,300,Defender
35,Baratheon,35,300,Attacker
36,Tully,36,300,Defender
36,Lannister,36,300,Attacker
36,Frey,36,300,Attacker
37,Blackwood,37,300,Defender
37,Bracken,37,300,Attacker
37,Lannister,37,300,Attacker
38,Bolton,38,300,Defender
38,Baratheon,38,300,Attacker
38,Frey,38,300,Defender
38,Karstark,38,300,Attacker
38,Mormont,38,300,Attacker
38,Glover,38,300,Attacker
